评估时间: 2026-05-09 12:45:03
GT 文件夹: /home/yanghaotian/server_data/yanghaotian/data/ubc_frames/frame300
生成文件夹: /home/yanghaotian/server_data/yanghaotian/test/MusePose/output/image-20260509/1220-pose_guider-70800/res
------------------------------------------------------------
Image Name                     |     PSNR |     SSIM |    LPIPS
------------------------------------------------------------
A1dLq8J8cjS_frame300.png       |  16.3668 |   0.8433 |   0.1620
A1vouAviXRS_frame300.png       |  13.7693 |   0.8190 |   0.1845
A1gga724uoS_frame300.png       |  20.6008 |   0.9357 |   0.1467
915AFYiy5HS_frame300.png       |  12.7271 |   0.8357 |   0.2020
A1wrrhGRZmS_frame300.png       |  13.6225 |   0.8433 |   0.1766
A1-Y9IlsIAS_frame300.png       |  20.5802 |   0.8919 |   0.1871
A1BjxrwYllS_frame300.png       |  15.8260 |   0.8877 |   0.1501
91yr7XDTg6S_frame300.png       |  13.0600 |   0.8204 |   0.2432
A1R2IbUSf5S_frame300.png       |  15.1779 |   0.8363 |   0.1427
91oPpgf2K+S_frame300.png       |  18.3772 |   0.9067 |   0.1381
A1PldjC8veS_frame300.png       |  17.7688 |   0.8860 |   0.1271
A129w3AF9lS_frame300.png       |  17.9986 |   0.9045 |   0.1167
91BjuE6irxS_frame300.png       |  16.4311 |   0.8815 |   0.1462
91mPG16px8S_frame300.png       |  16.2038 |   0.8292 |   0.1707
91mDd2Kmd6S_frame300.png       |  17.9363 |   0.8921 |   0.1490
A1uNC8clQGS_frame300.png       |  14.3882 |   0.8674 |   0.1738
91-3003CN5S_frame300.png       |  18.0562 |   0.9027 |   0.1639
A14oLiUg7CS_frame300.png       |  15.9889 |   0.8300 |   0.1496
A1s7vPmyheS_frame300.png       |  14.7961 |   0.8529 |   0.1628
A1ZoOtffkDS_frame300.png       |  18.9943 |   0.8996 |   0.1304
91lel7JgImS_frame300.png       |  16.3511 |   0.8400 |   0.1747
A1nR9+HvtBS_frame300.png       |  19.4678 |   0.9027 |   0.1373
A1ubDo0PbQS_frame300.png       |  14.3391 |   0.8652 |   0.1589
91cqgHAeFJS_frame300.png       |  19.1934 |   0.8535 |   0.1658
91cC+1+C4SS_frame300.png       |  18.2422 |   0.8517 |   0.1752
A16PpDz4r2S_frame300.png       |  15.9953 |   0.8871 |   0.1675
917UaHxvTZS_frame300.png       |  15.0854 |   0.8517 |   0.1558
91Z2vahVOdS_frame300.png       |  18.2170 |   0.8764 |   0.1342
A1-cVlkGwjS_frame300.png       |  11.4132 |   0.7963 |   0.2369
A14LlIk0zZS_frame300.png       |  17.8094 |   0.8367 |   0.1721
A11wqf-ILMS_frame300.png       |  13.9444 |   0.8243 |   0.1684
A1VF4yftLZS_frame300.png       |  19.2132 |   0.9243 |   0.1291
A1YwtL1+BqS_frame300.png       |  12.8183 |   0.8508 |   0.2007
A1cBV6jd+2S_frame300.png       |  16.2021 |   0.8576 |   0.1712
91uY9usoa5S_frame300.png       |  18.1871 |   0.9002 |   0.1393
A1F1j+kNaDS_frame300.png       |  16.2639 |   0.8539 |   0.2318
91ozYADVwYS_frame300.png       |  12.3175 |   0.8232 |   0.2298
A1K+AiMS9eS_frame300.png       |  16.3020 |   0.8413 |   0.1574
91z5omy4l9S_frame300.png       |  18.1107 |   0.9043 |   0.2117
A1T-Ea-FlQS_frame300.png       |  12.7471 |   0.7969 |   0.2296
A1o4gxGfr6S_frame300.png       |  15.5524 |   0.8475 |   0.1577
91M3UFSKn8S_frame300.png       |  15.2852 |   0.8567 |   0.1635
A15Ei5ve9BS_frame300.png       |  22.8061 |   0.9368 |   0.1114
A1lbfqR4BBS_frame300.png       |  17.3187 |   0.8525 |   0.1335
